date;SO2;NO2;NO;NOX;O3;CO;PM2.5;PM10;Amb.Wspeed;Amb.WDirection;Amb.Temp;Amb.RelHum;Amb.Pressure;death_count;Male;Female;10-64;65+;<10
2013/04/07;31.8375416666667;2.4582503395202;2.96174739701217;5.40992779538246;32.0167083333333;0.0243672785909182;20.5919166666667;44.1902083333333;1.37083333333333;171.353333333333;18.7283333333333;38.66625;851.32375;5;3;2;3;1;1
2013/04/08;34.3240833333333;2.41316206428253;2.90742417383426;5.3107009959257;43.060375;0.0245637558918361;22.108125;71.5542083333333;1.49791666666667;181.380833333333;19.7766666666667;38.4670833333333;851.587083333333;2;2;0;1;0;1
2013/04/09;38.0722083333333;2.36807378904487;2.85310095065635;5.21147419646894;35.7770833333333;0.024760233192754;34.94875;74.4445;1.45458333333333;198.672916666667;20.4933333333333;37.4420833333333;851.354583333333;6;3;3;2;3;1
2013/04/10;41.7096666666667;2.3229855138072;2.79877772747845;5.11224739701218;41.5305;0.0249567104936718;21.3171355928493;58.42075;2.37791666666667;199.021666666667;19.7645833333333;44.9154166666667;851.290416666667;2;1;1;1;0;1
2013/04/11;81.1544813485254;2.27789723856954;2.74445450430054;5.01302059755542;24.1423333333333;0.0251531877945897;9.87566666666667;20.548625;2.73125;123.864166666667;14.4208333333333;72.0075;855.60875;3;2;1;0;1;2
2013/04/12;29.0049583333333;2.23280896333187;2.69013128112263;4.91379379809866;24.0945;0.0253496650955076;17.5642654829963;24.869375;2.18291666666667;181.123333333333;14.0483333333333;81.7825;856.164166666667;1;0;1;1;0;0
2013/04/13;28.3350416666667;2.18772068809421;2.63580805794472;4.8145669986419;21.6270416666667;0.0255461423964255;14.7007895970725;23.6292083333333;1.98;221.019583333333;15.2525;75.9754166666667;857.115;4;2;2;3;0;1
2013/04/14;26.9299166666667;2.14263241285654;2.58148483476681;4.71534019918514;20.5840833333333;0.0257426196973434;29.0382191813911;44.3799166666667;1.01916666666667;131.24125;17.28125;63.4108333333333;855.905;5;3;2;4;1;0
2013/04/15;32.8708333333333;2.09754413761888;2.52716161158891;4.61611339972838;21.705625;0.0259390969982613;33.6393814626561;49.6117916666667;1.23916666666667;135.949583333333;19.0995833333333;52.77625;853.99375;2;2;0;2;0;0
2013/04/16;28.8818333333333;2.05245586238121;2.472838388411;4.51688660027162;28.45075;0.0261355742991792;32.9253025983982;67.39775;1.1875;192.029583333333;19.8954166666667;55.42625;852.506666666667;3;2;1;2;1;0
2013/04/17;41.747875;2.00736758714355;2.41851516523309;4.41765980081487;34.9527083333333;0.0263320516000972;39.768375;72.7667916666667;1.51333333333333;163.044166666667;20.55625;45.3045833333333;849.719583333333;4;2;2;2;1;1
2013/04/18;21.2142064022736;1.96227931190588;2.36419194205518;4.3184330013581;32.1337708333333;0.026528528901015;26.250687958863;49.313586182696;2.31208333333333;148.35765961089;17.9636456414397;50.7404166666667;848.869583333333;1;1;0;1;0;0
2013/04/19;12.3645833333333;1.91719103666822;2.30986871887728;4.21920620190134;33.200125;0.0267250062019329;14.6202681105433;25.75275;3.19166666666667;95.9320833333333;15.8220833333333;73.6829166666667;851.070416666667;2;0;2;1;1;0
2013/04/20;47.0527916666667;1.87210276143055;2.25554549569937;4.11997940244459;23.438125;0.0269214835028509;33.2773076682013;41.9159583333333;2.40791666666667;150.144583333333;10.7220833333333;93.6329166666667;852.8475;2;1;1;1;0;1
2013/04/21;26.172875;1.82701448619289;2.20122227252146;4.02075260298782;25.9235833333333;0.0271179608037688;20.495453332377;39.0249583333333;2.50708333333333;238.455833333333;11.2741666666667;78.3395833333333;851.276666666667;6;4;2;5;1;0
2013/04/22;33.6070416666667;1.78192621095522;2.14689904934355;3.92152580353106;18.7430833333333;0.0273144381046867;12.212125;26.688875;1.53625;178.522916666667;14.1979166666667;59.39;850.95125;3;1;2;2;1;0
2013/04/23;39.679375;1.73683793571756;2.09257582616565;3.82229900407431;26.5992916666667;0.0275109154056046;38.1074514601126;58.0313333333333;1.37791666666667;163.556666666667;14.82125;50.4904166666667;853.08875;NA;NA;NA;NA;NA;NA
2013/04/24;18.2305;1.69174966047989;2.03825260298774;3.72307220461755;20.152125;0.0277073927065225;184.845035622162;72.86175;0.923333333333333;121.772083333333;13.7545833333333;79.1091666666667;857.951666666667;4;3;1;2;1;1
2013/04/25;37.6923333333333;1.64666138524223;1.98392937980983;3.62384540516079;20.791;0.0279038700074404;58.4922433665455;69.938125;0.753333333333333;133.410416666667;15.2483333333333;65.9629166666667;859.065;5;3;2;5;0;0
2013/04/26;30.0722083333333;1.60157311000456;1.92960615663192;3.52461860570403;18.9755833333333;0.0281003473083583;92.6500416666667;71.9145833333333;0.887083333333333;108.335833333333;16.0191666666667;63.6654166666667;857.38;3;2;1;2;0;1
