year;variable;Total;q25;median;mean;sd;q75;q99;skew;kurtosis
2010;pm2.5;NA;12.9837880894517;20.328125;25.4889429920264;17.219047261412;33.6608958333333;81.9508308333334;1.55382793897812;6.51788545599845
2010;so2;NA;6.63222916666667;10.2668213195034;12.4605667670735;7.7280158760259;16.337;35.0373808333333;1.40686617428191;5.56620273928464
2011;Female;1050;2;3;2.87671232876712;1.69311149194634;4;8;0.679955939777521;3.62768162918167
2011;Male;1018;2;3;2.78904109589041;1.70225784482977;4;7;0.652511801494833;3.2362104326272
2011;SixtyFivePlus;1132;2;3;3.1013698630137;1.79379984907453;4;8;0.699884124678827;3.65986571129111
2011;TenToSixtyFour;914;1;2;2.5041095890411;1.61146632736182;3;7;0.491553049062342;2.8863133132508
2011;death_count;2071;4;5;5.67397260273973;2.44735938641637;7;12.36;0.540134510908917;3.33154805954915
2011;no2;NA;7.99218263888889;10.150594515442;11.0797510844747;5.02140048639785;12.7099583333333;26.8722113916256;1.68900081546756;6.63426279425369
2011;pm10;NA;29.9504166666667;48.3301656384767;54.4201774141802;33.2006045252155;68.4499822701384;177.632978476383;1.70619765082869;7.05396132847255
2011;pm2.5;NA;15.8550817183462;21.5900426948688;26.560312601561;15.4177426245773;34.7605922482634;82.7789577984796;1.5717924907137;6.28696060813742
2011;so2;NA;7.42000656639323;12.0953196727962;13.8996064660999;8.77552608456781;18.1708224927677;42.9998532358466;1.54355221928223;6.69732182542821
2012;Female;982;2;2;2.68306010928962;1.56610936887597;4;7;0.670556703029748;3.37345272235869
2012;Male;904;1;2;2.46994535519126;1.54314160866818;3;6;0.354353685018766;2.73449041161435
2012;SixtyFivePlus;1046;2;3;2.85792349726776;1.70463672413057;4;7.35000000000002;0.521252157506102;2.90817018233656
2012;TenToSixtyFour;830;1;2;2.26775956284153;1.52401736843511;3;6.35000000000002;0.728539657361175;3.76068620309412
2012;death_count;1889;4;5;5.16120218579235;2.17299053515155;7;10.35;0.293041322494728;2.94697761413613
2012;no2;NA;6.72824088541666;8.34806030701803;9.44134538189833;3.99176916205435;11.7041927083333;20.4805791666667;0.937355941589588;3.51864023379197
2012;pm10;NA;22.4493452971826;37.0738812017741;52.789450655104;41.2857676055097;78.4230427438474;188.157446341543;1.68709623709629;7.61063168096254
2012;pm2.5;NA;11.547921875;18.12221875;22.0111649874772;14.6927406557109;28.0755885416666;68.2436177083335;1.72508304708731;7.41658615115739
2012;so2;NA;5.60073958333333;9.44373594581466;11.6469097339773;7.96349038855836;15.2583983539604;36.2317206446021;1.18359835546339;4.12077284426321
2013;Female;1027;2;3;2.81369863013699;1.59440256030631;4;7.36000000000001;0.591539316804367;3.30554062435757
2013;Male;880;1;2;2.41095890410959;1.62091088587709;3;6.36000000000001;0.578535344474144;3.22542692248812
2013;SixtyFivePlus;1074;2;3;2.94246575342466;1.67380577472083;4;7;0.499291102392957;2.97222659225488
2013;TenToSixtyFour;815;1;2;2.23287671232877;1.5038462404708;3;6.36000000000001;0.696667372245569;3.50948076034758
2013;death_count;1910;4;5;5.23287671232877;2.27093767210432;7;12;0.571956568421845;3.28519237491633
2013;no2;NA;10.0041098532902;13.9475;14.7549202526754;5.94791017258616;19.1578333333333;30.6945484316687;0.663850058890213;3.10566555538813
2013;pm10;NA;19.3199450535779;38.9913125;44.9174387204647;29.1761726199211;64.221125;124.60584;0.724315899369436;2.75404563562647
2013;pm2.5;NA;10.1199375;16.2489791666667;20.9242730878996;13.7195359407113;30.159;57.5822725;0.848045847156067;2.90579356528265
2013;so2;NA;6.14748196746191;10.6810860153847;13.2388686230637;9.44614406553028;18.037899269111;41.8384504086488;1.2390332594726;4.39129850412067
2014;Female;1086;2;3;2.97534246575342;1.75315890890345;4;7.36000000000001;0.729953149415282;3.68362064045506
2014;Male;943;1;2;2.58356164383562;1.62120340076643;3;7;0.655687015119202;3.27852419656596
2014;SixtyFivePlus;1156;2;3;3.16712328767123;1.81629186870965;4;8;0.585507266334726;3.09251409680211
2014;TenToSixtyFour;868;1;2;2.37808219178082;1.59998682818604;3;7;0.796147231911241;3.45735590204382
2014;death_count;2034;4;5;5.57260273972603;2.44012138693129;7;12;0.600880554364853;3.01209829482527
2014;no2;NA;7.12183333333333;10.7685630501339;11.6029246951004;5.40062224053431;14.9255711805556;23.2672013209932;0.797801556210266;3.89410106737674
2014;pm10;NA;12.0875718288821;21.1959583333333;26.8348441762773;19.640370214527;39.0488854507497;76.7433108333333;1.87931132680184;11.3696936594564
2014;pm2.5;NA;7.19144675925926;10.8268924043872;14.0357039383565;9.63611923332744;18.6758958333333;43.0247185353536;1.14553436873172;3.65246820380311
2014;so2;NA;5.63240908507654;9.79759404272367;12.0539221675028;9.08517308534778;16.057977166548;43.1577399147403;1.57395298813415;6.49469809950049
2015;Female;1041;1;3;2.85205479452055;1.75569008919485;4;7;0.384896881423918;2.453579429173
2015;Male;865;1;2;2.36986301369863;1.59417594988921;3;6;0.657354561692313;3.62915409595012
2015;SixtyFivePlus;1159;2;3;3.17534246575342;1.90630682743023;4;8;0.539367045773675;2.72706309386631
2015;TenToSixtyFour;742;1;2;2.03287671232877;1.40016235268603;3;6;0.590907641709267;2.8784079025961
2015;death_count;1912;4;5;5.23835616438356;2.43614213443552;7;11;0.298225306323228;2.70000324774738
2015;no2;NA;9.6475625;14.4857256258236;15.8132797284158;8.06861023561255;20.13375;41.2270904166667;1.1359530800687;4.85097501874709
